item	itemLabel	wordnet_id	MESH	CUI	ICD-10	SNOMED-CT	wordnet30_id	sense
http://www.wikidata.org/entity/Q12491	mille-feuille	07642695-n					07627086-n	napoleon%1:13:00::
http://www.wikidata.org/entity/Q12757	internal combustion engine	03585151-n					03579982-n	ice%1:06:01:: internal-combustion_engine%1:06:00::
http://www.wikidata.org/entity/Q13143	scaphoid bone	05279775-n	D021361	C0223724			05272276-n	navicular%1:08:00:: scaphoid_bone%1:08:00:: os_scaphoideum%1:08:00::
http://www.wikidata.org/entity/Q13179	raspberry	07761442-n					07745466-n	raspberry%1:13:00::
http://www.wikidata.org/entity/Q13186	raisin	07768640-n					07752664-n	raisin%1:13:00::
http://www.wikidata.org/entity/Q13195	lime	07765707-n					07749731-n	lime%1:13:00::
http://www.wikidata.org/entity/Q13302	sorbet	07629957-n					07614348-n	water_ice%1:13:00:: sorbet%1:13:00::
http://www.wikidata.org/entity/Q13305	Italian ice	07629957-n					07614348-n	water_ice%1:13:00:: sorbet%1:13:00::
http://www.wikidata.org/entity/Q13319	frozen yogurt	07631655-n					07616046-n	frozen_yogurt%1:13:00::
http://www.wikidata.org/entity/Q13323	rondo	07057714-n					07043968-n	rondeau%1:10:01:: rondo%1:10:00::
http://www.wikidata.org/entity/Q13693	windshield	04597856-n					04590553-n	windshield%1:06:00:: windscreen%1:06:00::
http://www.wikidata.org/entity/Q14443	mahi-mahi	02584588-n					02581957-n	dolphin%1:05:01:: dolphinfish%1:05:00:: mahimahi%1:05:00::
http://www.wikidata.org/entity/Q15004	hair dryer	03488399-n					03483316-n	blow_drier%1:06:00:: blow_dryer%1:06:00:: hair_drier%1:06:00:: hand_blower%1:06:00:: hair_dryer%1:06:00::
http://www.wikidata.org/entity/Q15680	yurt	04621053-n					04613696-n	yurt%1:06:00::
http://www.wikidata.org/entity/Q15856	olm	01636868-n					01634227-n	proteus_anguinus%1:05:00:: olm%1:05:00::
http://www.wikidata.org/entity/Q1048084	opisthorchiasis	14477777-n	D009889	C0029106			14454311-n	opisthorchiasis%1:26:00::
http://www.wikidata.org/entity/Q1056832	coolant	14846311-n					14822141-n	coolant%1:27:00::
http://www.wikidata.org/entity/Q1067100	langbeinite	14704043-n					14679882-n	langbeinite%1:27:00::
http://www.wikidata.org/entity/Q1078587	Rudolph Wurlitzer Company	11419269-n					11399274-n	wurlitzer%1:18:00:: rudolf_wurlitzer%1:18:00::
http://www.wikidata.org/entity/Q1080794	state school	08427239-n					08410282-n	public_school%1:14:00::
http://www.wikidata.org/entity/Q1081491	football codes	00469555-n	D005538				00467564-n 00468480-n	football_game%1:04:00:: football%1:04:00:: collectivised%5:00:00:collective:00 collectivized%5:00:00:collective:00
http://www.wikidata.org/entity/Q1097302	Diplegia	14110690-n					14087208-n	diplegia%1:26:00::
http://www.wikidata.org/entity/Q1097498	ruler	10560786-n					10541229-n	ruler%1:18:00:: swayer%1:18:00::
http://www.wikidata.org/entity/Q1106827	coffee table book	03068121-n					03064118-n	coffee-table_book%1:06:00::
http://www.wikidata.org/entity/Q1109882	Collis Potter Huntington	11087174-n					11067184-n	huntington%1:18:00:: collis_potter_huntington%1:18:00::
http://www.wikidata.org/entity/Q1112916	white knight	08093541-n					08076705-n	white_knight%1:14:00::
http://www.wikidata.org/entity/Q1112923	Libyan Islamic Fighting Group	08049347-n					08032594-n	libyan_islamic_group%1:14:00:: al-jama'a_al-islamiyyah_al-muqatilah_bi-libya%1:14:00:: fig%1:14:00:: libyan_islamic_fighting_group%1:14:00:: libyan_fighting_group%1:14:00::
http://www.wikidata.org/entity/Q1113838	climatologist	09948660-n					09929202-n	climatologist%1:18:00::
http://www.wikidata.org/entity/Q1121471	paddle steamer	03879816-n					03874138-n	paddle-wheeler%1:06:00:: paddle_steamer%1:06:00::
http://www.wikidata.org/entity/Q1122881	brill	02665623-n					02662993-n	scophthalmus_rhombus%1:05:00:: brill%1:05:00::
http://www.wikidata.org/entity/Q1124558	Niobrara River	09394727-n					09371816-n	niobrara_river%1:17:00:: niobrara%1:17:00::
http://www.wikidata.org/entity/Q1128996	dysplasia	14389355-n	D002471	C0334044			14365950-n	dysplasia%1:26:00::
http://www.wikidata.org/entity/Q1129589	Rip Van Winkle	09626645-n					09603471-n	rip_van_winkle%1:18:02::
http://www.wikidata.org/entity/Q1130359	loincloth	02899556-n					02896294-n	breechclout%1:06:00:: breechcloth%1:06:00:: loincloth%1:06:00::
http://www.wikidata.org/entity/Q1130374	laparotomy	00684109-n	D007813				00682856-n	laparotomy%1:04:00::
http://www.wikidata.org/entity/Q1130386	Matteuccia struthiopteris	13218952-n					13198054-n	matteuccia_struthiopteris%1:20:00:: fiddlehead%1:20:02:: shuttlecock_fern%1:20:00:: ostrich_fern%1:20:00:: pteretis_struthiopteris%1:20:00:: onoclea_struthiopteris%1:20:00::
http://www.wikidata.org/entity/Q1133076	spoonerism	06782955-n					06770164-n	spoonerism%1:10:00::
http://www.wikidata.org/entity/Q1135567	buckle	02913678-n					02910353-n	buckle%1:06:00::
http://www.wikidata.org/entity/Q1136790	cotton gin	03120176-n					03115525-n	gin%1:06:00:: cotton_gin%1:06:00::
http://www.wikidata.org/entity/Q1137980	Battle of Ravenna	01295046-n					01292553-n	ravenna%1:04:00:: battle_of_ravenna%1:04:00::
http://www.wikidata.org/entity/Q1138468	grapefruit juice	07940987-n					07924747-n	grapefruit_juice%1:13:00::
http://www.wikidata.org/entity/Q1138584	balanitis	14284400-n	D001446	C0004690			14260898-n	balanitis%1:26:00::
http://www.wikidata.org/entity/Q1138868	photographic plate	03967077-n					03960783-n	plate%1:06:07:: photographic_plate%1:06:00::
http://www.wikidata.org/entity/Q1140186	Danish	07709335-n					07693590-n	danish_pastry%1:13:00:: danish%1:13:00::
http://www.wikidata.org/entity/Q1141346	Pharaoh ant	02222707-n					02220055-n	monomorium_pharaonis%1:05:00:: pharaoh's_ant%1:05:00:: pharaoh_ant%1:05:00::
http://www.wikidata.org/entity/Q1141780	afterglow	07507508-n					07492368-n	afterglow%1:12:00::
http://www.wikidata.org/entity/Q1142029	crumpet	07646518-n					07630909-n	crumpet%1:13:00::
http://www.wikidata.org/entity/Q1142539	Crêpe Suzette	07656865-n					07641256-n	crepe_suzette%1:13:00::
http://www.wikidata.org/entity/Q1142542	Carduelis cucullata	01534280-n					01531639-n 01531492-n	block%2:35:03:: red_siskin%1:05:00:: carduelis_cucullata%1:05:00::
http://www.wikidata.org/entity/Q1142571	Lyonnais	08964883-n					08945110-n	lyonnais%1:15:00::
http://www.wikidata.org/entity/Q1143832	The Solent	09462783-n					09439879-n	solent%1:17:00::
http://www.wikidata.org/entity/Q1146040	tank car	04396608-n					04389521-n	tank%1:06:02:: tank_car%1:06:00::
http://www.wikidata.org/entity/Q1146988	quai d'Orsay	08953543-n					08933770-n	quai_d'orsay%1:15:00::
http://www.wikidata.org/entity/Q1147704	Elam	08933015-n					08913242-n	susiana%1:15:00:: elam%1:15:00::
http://www.wikidata.org/entity/Q1147709	fireman	10678481-n					10659042-n	stoker%1:18:00:: fireman%1:18:01::
http://www.wikidata.org/entity/Q1153108	multiplex	06287678-n					06277025-n	multiplex%1:10:00::
http://www.wikidata.org/entity/Q1153386	Agama	01690619-n					01687978-n	agama%1:05:00::
http://www.wikidata.org/entity/Q1153522	Nan River	09387851-n					09364954-n	nan%1:17:00:: nan_river%1:17:00::
http://www.wikidata.org/entity/Q1154323	spree killer	10601100-n					10581648-n	spree_killer%1:18:00::
http://www.wikidata.org/entity/Q1157761	dacryocystitis	14365174-n	D003607	C0010930			14341769-n	dacryocystitis%1:26:00::
http://www.wikidata.org/entity/Q1162276	xerostomia	14561931-n	D014987	C0043352	K11.7		14538329-n	dry_mouth%1:26:00:: xerostomia%1:26:00::
http://www.wikidata.org/entity/Q1162276	xerostomia	14561931-n	D014987	C0043352	R68.2		14538329-n	dry_mouth%1:26:00:: xerostomia%1:26:00::
http://www.wikidata.org/entity/Q1163330	Maharaja	10301334-n					10281637-n	maharajah%1:18:00:: maharaja%1:18:00::
http://www.wikidata.org/entity/Q1163923	ductus arteriosus	05425521-n	D004373	C0013273			05418177-n	ductus_arteriosus%1:08:00::
http://www.wikidata.org/entity/Q1164340	bank rate	13340437-n					13319415-n	bank_rate%1:21:00::
http://www.wikidata.org/entity/Q1164665	subcutaneous tissue	01898491-n	D040521				01895850-n	hypodermis%1:05:00::
http://www.wikidata.org/entity/Q1172968	Thumb index	04438430-n					04431296-n	thumb_index%1:06:00::
